autID,nume,prenume
432,Seton-Watson,R. W. (Robert William)
433,Wilson,John Dover
434,Zimmern,Alfred
435,Greenwood,Arthur
436,Grant,Ulysses S. (Ulysses Simpson)
437,Vizetelly,Ernest Alfred
438,Darwin,Erasmus
439,Caxton,William
440,de Cessolis,active 1288-1322
441,Hakluyt,Richard
442,Kitson,Harry Dexter
443,Gardiner,A. G. (Alfred George)
444,Rizal,José
445,Harris,Thaddeus Mason
446,Loudun,Eugène
447,Roget,Peter Mark
448,Reid,Mayne
449,Wilberforce,William
450,Bury,J. B. (John Bagnell)
451,Jacob,P. L.
452,Bang,Herman
453,Daudet,Alphonse
454,Frey,Hildegard G.
455,Doe,Imbert de Saint-Amand
456,Doe,Old Sleuth
457,Kossuth,Lajos
458,Edward Law,Earl of
459,Cyprian,Sir
460,Laffon de Ladébat,André-Daniel
461,Hardy,Thomas
462,Lingard,John
463,Belloc,Hilaire
464,Mommsen,Theodor
465,Locke,William John
466,De Quincey,Thomas
467,Shiel,M. P. (Matthew Phipps)
468,Hobson,J. A. (John Atkinson)
469,Melville,Herman
470,Bullitt,William C. (William Christian)
471,Schopenhauer,Arthur
472,Abercrombie,Lascelles
473,Doe,Pindar
474,Ostrovsky,Aleksandr Nikolaevich
475,Alger,Horatio
476,Chaplin,Ralph
477,Newell,Jane H. (Jane Hancox)
478,Barrett,Frank
479,O. F.,Mrs.
480,McCleary,J. T. (James Thompson)
481,Fox,John
482,Merrill,Rufus
483,Draycott,Gladys M.
484,Allen,James
485,Spafford,Oliver
486,Falkner,John Meade
487,Phelps,Elizabeth Stuart
488,Maupassant,Guy de
489,Rostand,Edmond
490,Sheard,Virna
491,Lomax,E. L. (Edward Lloyd)
492,Stojan,Harry
493,Rushkoff,Douglas
494,Mason,A. E. W. (Alfred Edward Woodley)
495,Bramah,Ernest
496,Torrey,Bradford
497,Eliot,George
498,Champollion,Jean-François
499,Brayman,James O.
500,Barrie,J. M. (James Matthew)
501,Maspero,G. (Gaston)
502,Lucas,E. V. (Edward Verrall)
503,Virchow,Rudolf
504,Comyn,Tomás de
505,Jagor,Fedor
506,Wilkes,Charles
507,Miller,John Maurice
508,Bingham,Hiram
509,Willson,Thomas E.
510,Achard,Amédée
511,Appleton,Victor
512,Le Feuvre,Amy
513,Scott,Walter
514,Jenkins,Sara Davis
515,Altsheler,Joseph A. (Joseph Alexander)
516,Litchfield,Grace Denio
517,Sterne,Laurence
518,Eastman,Mary H. (Mary Henderson)
519,Home,Gordon
520,Bolles,John R. (John Rogers)
521,Wharton,Philip
522,A. T.,Mrs.
523,Cobb,Irvin S. (Irvin Shrewsbury)
524,Swift,Jonathan
525,Burton,Robert
526,Coleridge,Samuel Taylor
527,Haywood,Eliza Fowler
528,Daggett,David
529,Dunsany,Lord
530,Doe,Consumers' League of New York City
531,Doe,University of Oxford. Faculty of Modern History
532,Gogol,Nikolai Vasilevich
533,Cozzens,Samuel Woodworth
534,Doe,Christian Brothers
535,Boyd,Mary Stuart
536,Bécquer,Gustavo Adolfo
537,Crowquill,Alfred
538,Sinclair,May
539,Inglis,James
540,Eeden,Frederik van
541,Bishop,Nathaniel H. (Nathaniel Holmes)
542,Deyssel,Lodewijk van
543,George Gordon Byron,Baron
544,Blasco Ibáñez,Vicente
545,Schopenhauer,Johanna
546,Chevalier,Ulysse
547,Altamirano,Ignacio Manuel
548,Machiavelli,Niccolò
549,Doe,Livy
550,Hewet,Henry W.
551,Wilder,Sampson Vryling Stoddard
552,Couturat,Louis
553,Griggs,Edward Howard
554,Johnson,James
555,First Presbyterian Church (Marion,Ohio). Ladies' Aid Society
556,Favenc,Ernest
557,Kitson,Arthur
558,Yerkes,Robert Mearns
559,Toombs,Frederick R.
560,Wise,Thomas A. (Thomas Alfred)
561,Rhodes,Harrison
562,Farrar,F. W. (Frederic William)
563,Vale,Ferna
564,Webster,Angus Duncan
565,Doe,Teachers of the School Street Universalist Sunday School. Boston
566,Wallace,Alfred Russel
567,Griffiths,Charles John
568,Cox,James
569,Saint-Pierre,Bernardin de
570,Beesly,A. H. (Augustus Henry)
571,Leighton,John
572,Dwyer,James Francis
573,Fellowes,W. D. (William Dorset)
574,Archer,William
575,Emmerich,Anna Katharina
576,Rolland,Romain
577,Camp,Wadsworth
578,Roth,Lewis
579,Burgess,Gelett
580,Staley,Edgcumbe
581,Riley,Harvey
582,Seton,Ernest Thompson
583,Benson,E. F. (Edward Frederic)
584,Smiles,Samuel
585,Whicher,George Frisbie
586,Young,Egerton Ryerson
587,Haggard,H. Rider (Henry Rider)
588,Davies,Ebenezer
589,Douglas,O.
590,Millay,Edna St. Vincent
591,Donnell,Annie Hamilton
592,Jenness,Theodora R. (Theodora Robinson)
593,Standish,Burt L.
594,Braddon,M. E. (Mary Elizabeth)
595,Neuray,Fernand
596,Doe,United States. War Department
597,Hartzenbusch,Juan Eugenio
598,Hildebrandt,A. (Alfred)
599,Hawks,Francis L. (Francis Lister)
600,Hall,Mosiah
601,Sapper,Agnes
602,Green,Horace
603,Cambrensis,Giraldus
604,Taylor,Bayard
605,Lassila,Maiju
606,Sunity Devee,Maharani of Cooch Behar
607,Ballantyne,R. M. (Robert Michael)
608,Palmer,Frederick
609,Lagerlöf,Selma
610,Burnham,Margaret
611,Frye,William Edward
612,Marlowe,Christopher
613,Futrelle,Jacques
614,Aytoun,William Edmondstoune
615,Hill,Samuel Charles
616,Sanday,W. (William)
617,Morley,John
618,Hughes,Rupert
619,Lincoln,Jeanie Gould
620,Glyn,Elinor
621,Frank,Tenney
622,Lambert Chambers,Mrs.
623,Aitken,Edward Hamilton
624,France,Hector
625,Kreisler,Fritz
626,Woodson,Carter Godwin
