opID,titlu,volum
197,William Tell Overture,
198,Prelude in C Sharp Minor,
199,The Debutante,
200,Ride of the Valkyries,
201,Piano Sonata No. 14 in C sharp minor "Moonlight",
202,Extracts from the Ballet-Suite Scherazada,
203,The Water-Babies,
204,Slavonic Dance,
205,Clair de Lune,
206,Trio No. 1 in B Flat,
207,Etude Nouvelle in A Flat and Etude in C Major,
208,Quartet in G,
209,Minstrel Potpourri,
210,Schultz at the Paris Exposition,
211,Reuben Haskin's ride on the Cyclone Auto,
212,Two Rubes at the Vaudeville,
213,Three Rubes Seeing New York,
214,Poems by Currer,
215,A Bunch of Nonsense: Vaudeville Specialty,
216,Fourth of July at Punkin Center,
217,Interruptions,
218,Backyard Conversation Between Mrs. Reilly and Mrs. Finnegan,
219,Opera Reel with Calls,
220,Lonesome Road Blues,
221,Cluck Old Hen,
222,He Was Nailed to the Cross for Me,
223,Barbara Allen,
224,Down in a Georgia Jail,
225,The Tragedy of Pudd'nhead Wilson,
226,Sword Blades and Poppy Seed,
227,To Edison from Colonel Gouraud,
228,The Desert of Wheat,
229,Maria Mitchell: Life,
230,Big Ben Clock Tower of Westminster,
231,Charge of the Light Brigade,
232,Words of Welcome,
233,The Liver Complaint Story,
234,The Railroad Question,
235,The Rights of Labor,
236,Electricity and Progress,
237,The Congo,
238,Wolves of the Sea,
239,At Whispering Pine Lodge,
240,Peck's Bad Boy with the Circus,
241,The Everlasting Whisper,
242,Introduction to the Philosophy and Writings of Plato,
243,Manfredo Palavicino,
244,Poems,
245,The Land of Little Rain,
246,Stauder,
247,The Poetical Works of William Wordsworth — Volume 1,
248,Walking,
249,Daddy Takes Us Skating,
250,Purple Springs,
251,The Pilgrims of New England,
252,Meyers Konversationslexikon Band 15,
253,Kalitan,
254,Their Crimes,
255,Beautiful Joe: An Autobiography,
256,Tolstoy's Plower Story,
257,El Presidente Díaz al Señor Edison,
258,My South Polar Expedition,
259,Bleak House,
260,Remarks from a Visit to Edison Laboratory,
261,Remarks from a Visit to Edison Laboratory,
262,Remarks from a Visit to Edison Laboratory,
263,Transcontinental Telephone Address to Thomas A. Edison,
264,Old Creole Days: A Story of Creole Life,
265,Discussion on Edison's Monoid Theory,
266,International Correspondence School - Spanish Lesson #9,
267,Siegel-Myers School of Music - Vocal Record F,
268,Ediphone School Record No. 2,
269,2nd Record,
270,The Wrecker,
271,Plaque No. 1,
272,Plaque No. 2,
273,Plaque No. 6,
274,Radio Program for WAAM,
275,Johnson "Jass" Blues,
276,Jazz de Luxe,
277,Sensation Jazz: One-Step,
278,Dixieland,
279,Blues my Naughty Sweetie Gives to Me,
280,The St. Louis Blues,
281,Essays; Political,
282,The Five Bachelors,
283,Town Geology,
284,The Old Violin,
285,The Gospel of Wealth,
286,The Birth of the Telephone,
287,La Paloma,
288,O,
289,Mazel Tov,
290,Nataligino Kolo,
291,Smês esko - slováckych písní - cis 1,
292,The Diary of a Nobody,
293,Narodowe Melodye,
294,La Bella Cubano,
295,Que Partes El Alma,
296,Envoyons d'l'avant nos gens!,
297,Skamba Kankliah Ir Trimintai,
298,Anssin Jukka ja Härmän Häät,
299,The Glands Regulating Personality,
300,The Outdoor Chums; Or,
301,Patty at Home,
302,Pharoah's Army Got Drownded,
303,The Lone Star Ranger: A Romance of the Border,
304,What Band Is This?,
305,Höchstes Vertrauen,
306,Sono Un Poeta,
307,Ah! Fors' é Lui (La Traviata),
308,Sermons on Evil-Speaking,
309,La Gioconda,
310,Gloria,
311,Hallelujah Chorus,
312,Sei Forse L'Angelo Fedele,
313,Uncle Tom's Cabin: Entrance of Topsy,
314,The Professor,
315,In de Mornin' and Jes Gib Him One Ob Mine,
316,Antony's Address over the Body of Caesar,
317,Polish National Dance,
318,Dinah Polka,
319,Spring of Love,
320,Ma Rag Time Baby,
321,Arbucklenian Polka,
322,New York Blues,
323,Ragtime Echoes,
324,Le Chat du Neptune,
325,The Night-Born,
326,Confession de Minuit,
327,In the Fourth Year: Anticipations of a World Peace,
328,Punchinello,2
329,Relación historica de los sucesos de la rebelión de José Gabriel Tupac-Amaru en las provincias del Peru,
330,Verse and Prose for Beginners in Reading,
331,The Band of Gideon,
332,Swing Low,
333,Saxema,
334,Flow Gently Sweet Afton and Bonnie,
335,Poet and Peasant Overture,
336,Around the World in Eighty Days,
337,The Cavalier Songs and Ballads of England from 1642 to 1684,
338,Snyder,
339,Who Threw the Overalls in Mrs. Murphy's Chowder?,
340,Just Because She Made Dem Goo-Goo Eyes,
341,Jere Sanford's Yodling and Whistling Specialty,
342,Some of These Days,
343,Alexander's Ragtime Band,
344,Moonlight Bay,
345,At the Moving Picture Ball,
346,Handel Festival,
347,The Lost Chord,
348,Charmides,
349,After Dinner Toast at Little Menlo,
350,Around the World on the Phonograph,
351,The Pattison Waltz,
352,The Fifth Regiment March,
353,The Sonnets of Michael Angelo Buonarroti and Tommaso Campanella; Now for the First Time Translated into Rhymed English,
354,The Persian Literature,
355,Roy Blakeley's Adventures in Camp,
356,Betty Gordon at Boarding School; Or,
